sample,gen1000_avg_utility,gen5000_avg_utility
207,37.822500,37.896900
208,37.356400,37.670500
209,37.525100,38.036800
210,37.205100,38.222400
211,37.228900,37.782200
212,38.663500,37.948600
213,37.251300,38.148500
214,38.230800,38.404500
215,38.104400,37.628600
216,37.422500,37.606700
217,37.100900,37.926000
218,38.283000,37.246900
219,37.683200,37.825200
220,37.601500,37.699000
221,37.651600,37.219200
222,37.635200,37.539100
223,38.420300,37.981600
224,37.373400,37.643700
225,37.716700,37.565900
226,38.194900,38.211100
227,37.539100,37.879100
228,37.888000,37.239400
229,37.826200,37.559800
230,37.158300,37.729300
231,37.767900,37.148400
232,38.272100,38.354200
233,36.629400,37.359200
234,38.179700,37.671600
235,37.442100,37.809900
236,37.460000,38.084700
237,38.045700,37.450800
238,38.228500,37.416500
239,37.603400,37.387300
240,36.969400,37.997400
241,37.536200,37.445800
242,37.744500,37.887100
243,37.419300,38.339200
244,37.830900,37.917700
245,38.589500,37.506000
246,38.328900,37.331800
247,38.183300,37.074000
248,37.943400,37.633400
249,37.485700,38.110600
250,37.685000,38.586000
251,37.930400,37.929100
252,37.777900,38.058100
253,37.967600,38.244700
254,37.963800,37.699000
255,37.453700,37.509100
256,37.066000,37.635200
257,37.547200,37.494000
258,38.027500,37.981200
259,37.793600,38.187100
260,37.572700,37.629900
261,37.572800,37.819600
262,37.854400,37.143000
263,37.248900,37.846300
264,38.268600,37.482700
265,37.566900,38.187500
266,37.708200,37.875600
267,38.084500,38.293200
268,37.781300,37.550300
269,37.042400,38.509200
270,38.056700,37.674900
271,37.357900,38.027900
272,37.312900,37.314700
273,37.844900,36.492100
274,37.897200,37.555900
275,37.172200,38.192500
276,37.683900,37.468400
277,37.028300,37.877900
278,37.662600,38.108000
279,37.359300,37.555800
280,37.101400,37.936700
281,37.573900,37.214300
282,38.159000,38.104700
283,37.379900,37.766100
284,38.030800,37.904200
285,37.440300,38.423700
286,37.748700,37.853300
287,38.079600,37.420100
288,37.465900,38.106300
289,37.517500,37.942600
290,37.437300,37.133100
291,37.775200,38.148400
292,37.837000,37.889300
293,37.216200,37.610500
294,37.668500,37.542400
295,38.185100,37.813600
296,37.221100,37.516700
297,38.071300,38.190600
298,37.722500,37.627400
299,37.767400,37.245100
